Month,2009,2010,2011,2012
January,0,0,0,8
February,0,6,20,0
March,5,0,0,0
April,5,0,3,9
May,0,14,8,0
June,2,5,117,15
July,193,427,102,283
August,176,530,178,429
September,272,260,143,105
October,0,0,0,0
November,18,0,0,0
December,0,0,0,0
